127.0.0.1, 2018-09-30 13:44:08, GET, /admin/default/edit/welcome/views/default/index.html, HTTP/1.1, 200, 0.045296
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.001363
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000887
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.003229
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.003454
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000990
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.003467
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.001282
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001087
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.001606
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000926
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.001615
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000678
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000585
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.001045
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.001277
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.001018
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000980
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000511
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000725
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000449
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001342
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.001979
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.001125
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000606
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000527
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000644
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000581
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000871
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.001481
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000612
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.000566
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000529
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/js/ajax_editor.js, HTTP/1.1, 200, 0.000624
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000951
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/js/typeahead.min.js, HTTP/1.1, 200, 0.000976
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/images/files_toggle.png, HTTP/1.1, 200, 0.001221
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/static/_2.17.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000733
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/default/edit/welcome/views/default/index.html, HTTP/1.1, 200, 0.013542
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.037278
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.100547
127.0.0.1, 2018-09-30 13:44:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.125201
